AST,BLK,DREB_PCT,EFG_PCT,FT_RATE,OPP_AST,OPP_BLK,OPP_EFG_PCT,OPP_FT_RATE,OPP_TOV_PCT,OREB_PCT,PLUS_MINUS,TOV_PCT,WL
21,6,0.6285714285714286,0.6071428571428571,0.23214285714285715,14.0,7.0,0.5075757575757576,0.22727272727272727,0.14864864864864866,0.17391304347826086,0.0,0.23936170212765956,W
15,4,0.625,0.48,0.8,15.0,1.0,0.5161290322580645,0.46774193548387094,0.13774104683195593,0.2222222222222222,-6.0,0.1891891891891892,L
15,4,0.6857142857142857,0.5932203389830508,0.1694915254237288,11.0,1.0,0.47619047619047616,0.12698412698412698,0.16853932584269662,0.20689655172413793,9.0,0.18571428571428572,W
15,2,0.6086956521739131,0.4931506849315068,0.1232876712328767,14.0,8.0,0.5729166666666666,0.4791666666666667,0.26685393258426965,0.3333333333333333,6.0,0.11019283746556474,W
19,1,0.6111111111111112,0.5,0.20270270270270271,17.0,9.0,0.4925373134328358,0.208955223880597,0.1851851851851852,0.3611111111111111,10.0,0.10666666666666667,W
24,7,0.6666666666666666,0.5648148148148148,0.25925925925925924,15.0,0.0,0.5384615384615384,0.16923076923076924,0.12048192771084336,0.21739130434782608,-1.0,0.21551724137931036,L
24,7,0.6153846153846154,0.6031746031746031,0.2698412698412698,14.0,5.0,0.3559322033898305,0.2542372881355932,0.19718309859154928,0.43333333333333335,31.0,0.13677811550151978,W
16,1,0.7428571428571429,0.4015151515151515,0.2727272727272727,19.0,3.0,0.5597014925373134,0.208955223880597,0.07183908045977012,0.2926829268292683,-21.0,0.11560693641618497,L
22,4,0.5625,0.6696428571428571,0.2857142857142857,21.0,3.0,0.5234375,0.171875,0.11869436201780414,0.2692307692307692,11.0,0.13975155279503104,L
26,4,0.7857142857142857,0.6640625,0.265625,17.0,6.0,0.4264705882352941,0.3088235294117647,0.12755102040816327,0.16666666666666666,24.0,0.15228426395939088,W
15,7,0.75,0.43661971830985913,0.19718309859154928,12.0,6.0,0.4411764705882353,0.16176470588235295,0.15915119363395225,0.2571428571428571,6.0,0.1174934725848564,W
21,5,0.6666666666666666,0.6333333333333333,0.15,12.0,2.0,0.4788732394366197,0.2112676056338028,0.08695652173913043,0.08333333333333333,4.0,0.08875739644970415,W
19,1,0.6052631578947368,0.5,0.10606060606060606,7.0,5.0,0.37719298245614036,0.3508771929824561,0.25,0.2727272727272727,13.0,0.10479041916167665,W
13,5,0.6756756756756757,0.47692307692307695,0.26153846153846155,15.0,2.0,0.425,0.26666666666666666,0.15193370165745856,0.2727272727272727,11.0,0.11299435028248588,W
18,11,0.5365853658536586,0.5789473684210527,0.24561403508771928,18.0,2.0,0.5,0.1917808219178082,0.178117048346056,0.23076923076923078,-6.0,0.22038567493112948,L
19,4,0.6571428571428571,0.4603174603174603,0.20634920634920634,18.0,5.0,0.47580645161290325,0.1935483870967742,0.15988372093023256,0.25,-2.0,0.11730205278592375,W
